"WBS #","Name / Title",Type,"Start Date","End Date","Estimated Hours","Actual Hours","Percent Complete",Resources,Predecessors,Notes,Comments,"Task Color"
1,Timeline,project,2022-09-09,2023-06-01,0,0,0,,,,,
1.1,"Project Initiation",group,2022-09-09,2022-11-03,0,0,0,,,,,
1.1.1,"Selection of research problem and topic",task,2022-09-09,2022-09-23,0,0,0,,,,,blue2
1.1.2,"Mentor approval of the research topic",task,2022-09-21,2022-09-23,0,0,0,,,,,blue2
1.1.3,"Familiarizing with research Domain",task,2022-09-09,2022-10-31,0,0,0,,,,,blue2
1.1.4,"Identifying aim and objectives",task,2022-10-17,2022-10-21,0,0,0,,,,,blue2
1.1.5,"Performing Initial Literature review",task,2022-09-09,2022-10-31,0,0,0,,,,,blue2
1.1.6,"Preparing draft project Initiation document (PID)",task,2022-10-14,2022-10-19,0,0,0,,,,,blue2
1.1.7,"Mentor and peer review of draft PID",task,2022-10-21,2022-10-24,0,0,0,,,,,blue2
1.1.8,"Self- evaluation and refinement of PID",task,2022-10-25,2022-10-31,0,0,0,,,,,blue2
1.1.9,"Submission of  PID",task,2022-11-03,2022-11-03,0,0,0,,,,,blue2
1.2,"Literature Review",group,2022-09-16,2023-04-07,0,0,0,,,,,
1.2.1,"Identifying components to conduct Literature Review (LR)",task,2022-10-03,2022-11-01,0,0,0,,,,,blue2
1.2.2,"Collecting related research papers and materials",task,2022-09-16,2022-11-15,0,0,0,,,,,blue2
1.2.3,"Reading and compartmentalizing gathered data",task,2022-10-03,2022-11-25,0,0,0,,,,,blue2
1.2.4,"Reviewing gathered research articles",task,2022-10-14,2022-11-29,0,0,0,,,,,blue2
1.2.5,"Prepare draft LR",task,2022-10-14,2022-11-25,0,0,0,,,,,blue2
1.2.6,"Mentor and peer review of draft LR",task,2022-11-04,2022-11-15,0,0,0,,,,,blue2
1.2.7,"Self-evaluating and refining LR",task,2022-11-15,2022-11-30,0,0,0,,,,,blue2
1.2.8,"Submission of final LR",task,2022-11-30,2022-11-30,0,0,0,,,,,blue2
1.2.9,"Extended LR",task,2022-10-03,2023-04-07,0,0,0,,,,,blue2
1.3,"Requirement Gathering",group,2022-09-15,2023-01-17,0,0,0,,,,,
1.3.1,"Analyze current processes",task,2022-09-15,2022-12-09,0,0,0,,,,,blue2
